University,Location,lat,lon
Australian Catholic University,Banyo,-27.37815905,153.089464740851
Australian National University,Canberra,-35.28121335,149.116778864645
Bond University,Robina,-28.073868,153.416848711683
Central Queensland University,Brisbane City,-27.467384,153.0242227
Charles Darwin University,Darwin,-12.3713128,130.868400262302
Charles Sturt University,Charles Sturt University,-35.0636071,147.3552234
Curtin University,Karawara,-32.00574155,115.892864389257
Deakin University,City of Greater Geelong,-38.2004183,144.300932902851
Edith Cowan University,Menora,-31.9192816,115.869121501032
Federation University Australia,Rural City of Horsham,-36.7123337,142.185245721756
Flinders University,Bedford Park,-35.02486815,138.573433050561
Griffith University,Mount Gravatt,-27.54662495,153.064292225483
James Cook University,Thomson,1.3749872,103.829054593398
La Trobe University,Rural City of Mildura,-34.20552165,142.166661369224
Macquarie University,Sydney,-33.77741365,151.1181983
Monash University,Parkville,-37.78397455,144.958674326093
Murdoch University,Murdoch,-32.07161405,115.833500853777
Queensland University of Technology,South Brisbane,-27.47715625,153.028410039129
RMIT University,Melbourne City,-37.8087465,144.9638875
Southern Cross University,East Lismore,-28.8188635,153.300537075398
